user,item,cnt,daytime,weekday,isweekend,homework,cost,weather,country,city
107,17,3,night,sunday,weekend,unknown,free,cloudy,United States,0
106,81,62,noon,thursday,workday,unknown,free,sunny,Taiwan,970
108,82,2,night,thursday,workday,home,free,stormy,Germany,333
54,42,267,sunset,friday,weekend,unknown,free,sunny,Spain,0
109,20,20,sunset,thursday,workday,unknown,free,sunny,United States,1003
110,83,12,afternoon,thursday,workday,unknown,free,foggy,United States,1028
10,11,1,night,saturday,weekend,unknown,free,unknown,Spain,373
111,26,22,night,tuesday,workday,unknown,free,unknown,unknown,0
37,84,4,sunset,saturday,weekend,unknown,free,cloudy,Canada,128
90,67,40,sunset,friday,weekend,unknown,free,cloudy,United States,0
112,85,6,evening,monday,workday,unknown,free,cloudy,Spain,369
113,5,46,evening,saturday,weekend,unknown,free,sunny,Spain,0
114,40,209,evening,thursday,workday,home,free,cloudy,United States,0
115,21,5,noon,wednesday,workday,unknown,free,cloudy,United States,0
116,86,55,morning,monday,workday,unknown,free,sunny,Australia,31
106,87,573,morning,thursday,workday,unknown,free,cloudy,Taiwan,970
117,88,190,evening,sunday,weekend,unknown,free,sunny,Chile,151
118,89,10,morning,tuesday,workday,home,free,rainy,United States,1041
119,15,4,evening,wednesday,workday,home,paid,cloudy,United States,0
120,25,91,evening,tuesday,workday,unknown,free,sunny,United States,0
121,90,1,night,wednesday,workday,unknown,free,sunny,United States,0
51,5,35,afternoon,friday,workday,unknown,free,sunny,Spain,369
122,40,3,evening,friday,weekend,unknown,free,unknown,Spain,0
17,10,44,morning,tuesday,workday,unknown,free,stormy,Canada,136
33,11,13,night,tuesday,workday,unknown,free,foggy,Ecuador,356
123,91,65,noon,monday,workday,home,free,sunny,United States,0
55,92,14,noon,sunday,weekend,unknown,free,sunny,United States,0
124,33,4,night,friday,workday,home,free,cloudy,Spain,369
5,11,58,evening,saturday,weekend,home,free,cloudy,Spain,369
125,93,4,evening,friday,weekend,home,free,cloudy,United Kingdom,401
126,94,117,sunset,saturday,weekend,unknown,free,sunny,United States,0
47,21,33,evening,tuesday,workday,unknown,free,foggy,Peru,799
64,40,12,afternoon,saturday,weekend,work,free,cloudy,Spain,369
117,95,1,afternoon,wednesday,workday,unknown,paid,sunny,Chile,151
22,40,48,evening,friday,weekend,unknown,free,cloudy,United States,1026
31,17,1,night,saturday,weekend,unknown,free,cloudy,Spain,369
127,96,10,noon,monday,workday,unknown,free,cloudy,Germany,0
120,97,151,sunrise,monday,workday,unknown,free,sunny,United States,0
128,5,406,afternoon,tuesday,workday,unknown,free,cloudy,Peru,802
86,16,22,evening,sunday,weekend,unknown,free,foggy,United Kingdom,401
129,25,13,afternoon,sunday,weekend,unknown,free,unknown,unknown,0
130,98,1,evening,tuesday,workday,unknown,free,cloudy,Spain,369
131,59,972,morning,tuesday,workday,unknown,free,sunny,Taiwan,972
132,25,1,afternoon,sunday,weekend,unknown,free,unknown,unknown,0
133,28,19,evening,sunday,weekend,unknown,free,cloudy,United States,0
134,99,2,sunrise,sunday,weekend,home,free,sunny,United States,0
135,100,1,night,friday,workday,home,free,cloudy,Spain,369
90,21,5,evening,thursday,workday,home,free,sunny,United States,1003
92,21,43,afternoon,wednesday,workday,unknown,free,cloudy,United States,0
2,101,6,sunset,tuesday,workday,unknown,free,cloudy,Spain,369
68,102,12,morning,tuesday,workday,unknown,free,sunny,Israel,454
136,103,12,afternoon,friday,workday,unknown,free,cloudy,Macedonia,677
68,35,3,morning,sunday,weekend,unknown,free,unknown,Israel,454
137,104,1,afternoon,sunday,weekend,unknown,paid,foggy,Peru,799
138,105,12,evening,friday,weekend,unknown,paid,foggy,Mexico,724
139,106,14,morning,monday,workday,unknown,free,sunny,Czech Rep.,327
140,44,26,night,saturday,weekend,unknown,free,unknown,unknown,0
141,71,1,sunset,wednesday,workday,unknown,free,rainy,Colombia,306
142,5,425,sunrise,sunday,weekend,home,free,sunny,Saudi Arabia,0
143,107,52,morning,friday,workday,unknown,free,sunny,Lithuania,661
144,3,472,afternoon,friday,workday,unknown,free,sunny,United States,1004
145,108,18,evening,monday,workday,unknown,free,cloudy,United Kingdom,400
64,9,60,sunrise,wednesday,workday,home,free,cloudy,Spain,369
32,59,3,evening,monday,workday,unknown,free,sunny,Spain,373
146,109,1,night,monday,workday,unknown,free,unknown,unknown,0
1,110,3,night,monday,workday,unknown,free,sunny,Spain,369
71,111,49,sunset,monday,workday,unknown,free,cloudy,United States,1022
147,112,4,evening,sunday,weekend,unknown,free,sunny,Spain,369
71,16,26,morning,monday,workday,home,free,sunny,United States,1022
148,113,2,afternoon,monday,workday,unknown,free,unknown,unknown,0
149,114,8,evening,friday,weekend,unknown,free,cloudy,Australia,28
68,11,13,sunrise,sunday,weekend,unknown,free,cloudy,Israel,0
106,87,24,morning,wednesday,workday,unknown,free,sunny,Taiwan,970
85,17,38,evening,tuesday,workday,unknown,free,sunny,United Kingdom,401
49,39,6,morning,monday,workday,home,free,cloudy,Australia,0
150,26,275,night,friday,workday,unknown,free,cloudy,Canada,0
4,115,16,afternoon,saturday,weekend,unknown,free,sunny,Switzerland,147
42,5,3,sunset,sunday,weekend,unknown,free,unknown,Spain,369
7,116,1,morning,sunday,weekend,unknown,paid,cloudy,India,514
57,117,140,afternoon,thursday,workday,home,free,sunny,United States,0
151,118,8,morning,sunday,weekend,unknown,free,sunny,Australia,0
42,119,1,afternoon,monday,workday,unknown,free,sunny,Lithuania,661
132,120,1,evening,wednesday,workday,unknown,free,unknown,unknown,0
152,121,183,morning,tuesday,workday,unknown,paid,sunny,Australia,0
56,49,3,evening,monday,workday,unknown,free,cloudy,Mexico,713
153,122,498,afternoon,wednesday,workday,unknown,free,cloudy,Mexico,728
86,114,48,noon,saturday,weekend,unknown,free,foggy,United Kingdom,401
154,40,114,afternoon,thursday,workday,unknown,free,cloudy,United Kingdom,392
155,123,52,night,wednesday,workday,home,paid,cloudy,Spain,369
12,124,41,noon,wednesday,workday,home,free,sunny,United States,0
54,42,13,morning,thursday,workday,unknown,free,sunny,Cyprus,0
156,125,1,evening,saturday,weekend,unknown,free,cloudy,Spain,369
157,33,4,morning,friday,workday,unknown,free,unknown,Japan,641
110,9,27,afternoon,wednesday,workday,unknown,free,rainy,United States,0
158,126,4,evening,tuesday,workday,home,free,cloudy,Spain,0
159,127,5239,afternoon,sunday,weekend,unknown,paid,cloudy,Peru,799
89,45,2,evening,tuesday,workday,unknown,free,cloudy,Canada,128
14,128,1597,evening,friday,weekend,unknown,free,cloudy,Greece,410
160,129,3,evening,saturday,weekend,unknown,free,unknown,unknown,0
123,130,2,morning,sunday,weekend,home,free,sunny,United States,0
151,131,709,evening,thursday,workday,unknown,free,cloudy,Australia,0
64,5,7,evening,monday,workday,home,free,cloudy,Spain,369
161,132,1,noon,wednesday,workday,unknown,free,cloudy,Spain,369
106,21,4,afternoon,saturday,weekend,home,free,rainy,Taiwan,964
54,133,1,night,sunday,weekend,unknown,free,foggy,Spain,0
162,134,1,noon,tuesday,workday,unknown,free,cloudy,Spain,369
163,5,471,afternoon,monday,workday,unknown,free,cloudy,Spain,369
89,3,12,morning,friday,workday,unknown,free,sunny,Canada,136
164,3,61,evening,monday,workday,unknown,free,unknown,unknown,0
165,135,1,morning,thursday,workday,unknown,free,cloudy,Peru,799
166,136,56,noon,thursday,workday,home,free,cloudy,United States,0
71,16,1,noon,wednesday,workday,unknown,free,sunny,United States,1022
45,137,1,afternoon,monday,workday,unknown,free,unknown,Spain,378
167,138,1,noon,thursday,workday,unknown,free,cloudy,Peru,799
78,5,1190,evening,tuesday,workday,unknown,free,rainy,Costa Rica,321
38,33,11,afternoon,saturday,weekend,unknown,free,unknown,unknown,0
168,26,4,evening,wednesday,workday,unknown,free,unknown,United States,0
10,21,4,sunrise,tuesday,workday,unknown,free,sunny,Spain,373
169,139,6,morning,monday,workday,unknown,free,sunny,United States,994
97,140,144,morning,saturday,weekend,home,free,foggy,Canada,135
170,21,201,morning,saturday,weekend,unknown,free,rainy,United Kingdom,0
70,25,14,evening,wednesday,workday,unknown,free,sunny,Spain,373
80,25,8,afternoon,sunday,weekend,unknown,free,rainy,Spain,0
15,141,1,sunrise,wednesday,workday,unknown,free,foggy,Peru,799
157,142,2,morning,saturday,weekend,unknown,free,sunny,Japan,641
92,16,2,night,friday,workday,home,free,rainy,United States,0
10,5,10,morning,friday,workday,unknown,free,unknown,Spain,373
143,143,4,night,tuesday,workday,unknown,free,sunny,Lithuania,661
171,144,144,morning,monday,workday,unknown,free,stormy,Japan,641
71,145,95,morning,saturday,weekend,home,free,cloudy,United States,1022
172,35,60,noon,friday,workday,unknown,free,cloudy,United States,1004
87,146,303,afternoon,thursday,workday,unknown,free,sunny,United States,1003
48,5,2446,afternoon,monday,workday,work,free,sunny,Spain,369
173,26,1,afternoon,thursday,workday,work,free,cloudy,United States,1048
174,35,2,night,thursday,workday,home,free,sunny,Israel,454
64,5,3,afternoon,sunday,weekend,unknown,free,unknown,unknown,0
157,33,39,evening,wednesday,workday,unknown,free,sunny,Japan,641
175,147,1,night,sunday,weekend,unknown,free,unknown,unknown,0
40,21,2,evening,friday,weekend,home,free,unknown,Spain,374
176,21,4,night,saturday,weekend,unknown,free,unknown,unknown,0
74,148,1,evening,monday,workday,work,free,cloudy,Canada,134
91,102,5,morning,tuesday,workday,unknown,free,cloudy,Colombia,0
177,149,90,morning,monday,workday,unknown,free,cloudy,United Kingdom,395
22,150,45,sunset,wednesday,workday,work,paid,cloudy,United Kingdom,401
178,25,6,evening,friday,weekend,unknown,free,sunny,United Kingdom,0
33,39,1,night,friday,workday,unknown,free,cloudy,Ecuador,356
133,115,7,morning,thursday,workday,unknown,free,foggy,United States,0
179,11,48,noon,friday,workday,unknown,free,sunny,United States,1005
177,151,2,sunrise,thursday,workday,unknown,free,unknown,United Kingdom,0
180,9,5586,noon,wednesday,workday,unknown,free,cloudy,Spain,369
181,0,26,noon,sunday,weekend,unknown,free,cloudy,Israel,454
182,152,42,evening,wednesday,workday,unknown,free,unknown,unknown,0
183,153,9,night,tuesday,workday,unknown,paid,cloudy,United States,0
184,154,6,noon,friday,workday,home,free,cloudy,United States,1028
185,16,12,morning,friday,workday,unknown,free,rainy,Belgium,38
186,16,4,morning,thursday,workday,unknown,free,sunny,Spain,369
187,155,12,morning,sunday,weekend,unknown,free,foggy,Peru,799
130,5,474,afternoon,monday,workday,unknown,free,sunny,Lithuania,661
87,25,34,sunset,thursday,workday,unknown,free,sunny,United States,1000
51,25,1,evening,wednesday,workday,unknown,free,unknown,Spain,369
188,42,1,morning,monday,workday,unknown,free,sunny,United States,0
117,156,1,evening,sunday,weekend,unknown,free,cloudy,Chile,151
80,9,72,evening,tuesday,workday,unknown,free,cloudy,Spain,0
189,157,1,afternoon,wednesday,workday,work,free,sunny,Spain,369
173,25,2,afternoon,thursday,workday,unknown,free,cloudy,United States,1048
46,3,1,evening,friday,weekend,unknown,free,cloudy,Netherlands,786
190,20,7,sunrise,saturday,weekend,unknown,free,cloudy,Norway,0
191,16,3,evening,monday,workday,unknown,free,sunny,United States,0
143,39,2,morning,tuesday,workday,unknown,free,unknown,Lithuania,0
192,158,6,afternoon,wednesday,workday,unknown,free,cloudy,United States,0
193,159,1,evening,tuesday,workday,unknown,free,unknown,unknown,0
194,45,17,evening,thursday,workday,unknown,free,rainy,New Zealand,789
195,160,10,afternoon,saturday,weekend,unknown,free,foggy,Korea,649
195,161,1,morning,friday,workday,unknown,free,unknown,Korea,649
108,25,7,morning,thursday,workday,home,free,stormy,Germany,333
194,9,2,morning,friday,workday,home,free,cloudy,New Zealand,789
138,162,31,noon,tuesday,workday,unknown,free,cloudy,Mexico,724
196,163,13,morning,saturday,weekend,unknown,free,sunny,Russia,0
10,39,3,afternoon,wednesday,workday,unknown,free,cloudy,Spain,373
197,164,1,afternoon,monday,workday,unknown,free,sunny,Lithuania,661
151,165,54,afternoon,saturday,weekend,unknown,paid,sunny,Australia,28
41,166,1,evening,sunday,weekend,unknown,free,sunny,Mexico,0
1,11,28,morning,sunday,weekend,unknown,free,cloudy,Spain,0
78,167,66,afternoon,wednesday,workday,unknown,free,rainy,Costa Rica,321
198,65,17,sunset,sunday,weekend,home,free,sunny,Spain,0
5,11,9,afternoon,sunday,weekend,home,free,sunny,Spain,369
168,168,1,evening,tuesday,workday,unknown,free,sunny,United States,0
130,102,392,evening,wednesday,workday,unknown,free,cloudy,Lithuania,661
199,169,11,afternoon,thursday,workday,unknown,free,sunny,United Kingdom,401
200,170,3,evening,wednesday,workday,unknown,paid,rainy,Ireland,452
12,171,70,sunrise,saturday,weekend,home,free,sunny,United States,0
201,16,7,morning,saturday,weekend,unknown,free,cloudy,Spain,369
155,5,30,noon,tuesday,workday,home,free,cloudy,Spain,369
34,11,8,sunset,sunday,weekend,unknown,free,sunny,United Kingdom,0
181,21,6,afternoon,monday,workday,unknown,free,cloudy,Israel,454
187,48,1,night,thursday,workday,unknown,free,sunny,Peru,799
64,16,4,sunrise,friday,workday,work,free,unknown,Spain,369
131,172,723,evening,monday,workday,unknown,free,sunny,Taiwan,972
136,17,305,noon,thursday,workday,unknown,free,cloudy,Montenegro,0
108,173,2,sunset,wednesday,workday,home,paid,stormy,Germany,333
12,174,3,evening,saturday,weekend,home,free,cloudy,United States,0
86,175,22,morning,sunday,weekend,unknown,paid,foggy,United Kingdom,401
159,102,14,afternoon,tuesday,workday,unknown,free,cloudy,Peru,799
176,114,54,noon,friday,workday,unknown,free,unknown,unknown,0
113,9,16,morning,friday,workday,unknown,free,cloudy,Spain,369
187,176,1,night,thursday,workday,unknown,free,foggy,Peru,799
1,17,1,night,wednesday,workday,unknown,free,unknown,Spain,369
131,59,2,night,thursday,workday,unknown,free,cloudy,Taiwan,973
202,177,3,evening,monday,workday,unknown,free,sunny,India,0
203,3,1,afternoon,wednesday,workday,unknown,free,unknown,unknown,0
189,9,113,evening,sunday,weekend,unknown,free,sunny,Spain,0
204,178,1,evening,sunday,weekend,unknown,free,sunny,Canada,135
205,11,33,afternoon,tuesday,workday,unknown,free,sunny,Argentina,0
206,110,1,sunrise,tuesday,workday,unknown,free,cloudy,Netherlands,784
125,78,2,noon,tuesday,workday,home,free,cloudy,United Kingdom,401
207,179,1,morning,wednesday,workday,home,free,sunny,Italy,601
208,180,31,afternoon,monday,workday,unknown,free,cloudy,United Kingdom,400
8,21,6,afternoon,monday,workday,home,free,cloudy,Canada,129
209,181,1,afternoon,friday,workday,unknown,free,sunny,United Arab Emirates,2
210,16,3,morning,thursday,workday,unknown,free,cloudy,Ireland,452
211,182,1,afternoon,wednesday,workday,unknown,free,unknown,unknown,0
153,33,15,sunrise,friday,workday,unknown,free,sunny,Mexico,694
212,33,1,night,saturday,weekend,unknown,free,sunny,Russia,879
213,183,136,night,friday,workday,unknown,free,cloudy,Australia,30
52,184,2,morning,sunday,weekend,home,free,cloudy,United Kingdom,390
170,185,54,sunrise,saturday,weekend,home,paid,cloudy,United Kingdom,0
214,9,30,night,thursday,workday,home,free,cloudy,Spain,369
52,186,764,morning,saturday,weekend,unknown,free,cloudy,United Kingdom,393
215,78,302,afternoon,tuesday,workday,unknown,free,cloudy,United States,0
150,26,1,noon,sunday,weekend,unknown,free,rainy,Canada,0
216,187,2,morning,sunday,weekend,home,free,foggy,Switzerland,147
195,188,15,evening,friday,weekend,unknown,free,sunny,Korea,649
99,65,3,sunset,friday,weekend,unknown,free,foggy,Peru,799
55,21,1,sunset,saturday,weekend,unknown,free,unknown,United States,0
217,189,7,morning,friday,workday,unknown,paid,sunny,Denmark,349
218,33,4,evening,thursday,workday,unknown,free,stormy,Indonesia,440
219,190,1,night,monday,workday,unknown,paid,snowy,United States,0
218,33,10,night,wednesday,workday,unknown,free,sunny,Indonesia,440
220,25,2,evening,wednesday,workday,home,free,cloudy,Germany,328
43,78,30,evening,saturday,weekend,unknown,free,cloudy,United States,1013
221,25,15,evening,friday,weekend,unknown,free,sunny,Mexico,696
222,21,22,afternoon,monday,workday,home,free,sunny,Croatia,419
223,25,62,evening,monday,workday,unknown,free,sunny,Mexico,712
189,59,1,afternoon,wednesday,workday,work,free,unknown,Spain,369
224,44,1,morning,tuesday,workday,unknown,free,cloudy,United States,0
225,103,2,evening,wednesday,workday,unknown,free,cloudy,United States,1021
226,28,2,morning,wednesday,workday,work,free,cloudy,Canada,0
169,191,36,afternoon,sunday,weekend,unknown,free,cloudy,United States,994
130,192,1,afternoon,tuesday,workday,unknown,paid,cloudy,Spain,369
85,136,1,morning,saturday,weekend,unknown,free,cloudy,United Kingdom,401
223,44,1,evening,sunday,weekend,unknown,free,cloudy,Mexico,712
98,3,6,afternoon,saturday,weekend,unknown,free,foggy,Peru,799
227,33,3,morning,friday,workday,unknown,free,unknown,unknown,0
121,193,1,night,wednesday,workday,unknown,free,sunny,United States,0
62,21,2,afternoon,thursday,workday,unknown,free,stormy,unknown,0
80,59,106,morning,monday,workday,work,free,cloudy,Spain,0
208,17,27,afternoon,sunday,weekend,unknown,free,cloudy,United Kingdom,400
5,11,162,afternoon,sunday,weekend,home,free,cloudy,Spain,369
228,16,2,evening,monday,workday,unknown,free,sunny,United States,0
66,150,70,evening,friday,weekend,unknown,paid,unknown,United States,1022
110,194,1,evening,saturday,weekend,unknown,paid,unknown,United States,0
229,195,2,sunrise,thursday,workday,unknown,free,sunny,Hungary,0
33,196,1,noon,monday,workday,unknown,free,sunny,Ecuador,356
230,156,1,afternoon,monday,workday,unknown,free,cloudy,Ecuador,355
231,143,1,sunset,saturday,weekend,unknown,free,sunny,Egypt,360
232,20,1,sunrise,tuesday,workday,unknown,free,cloudy,United States,1002
86,11,3,sunset,thursday,workday,unknown,free,sunny,United Kingdom,401
233,197,1,evening,sunday,weekend,unknown,free,cloudy,Peru,799
234,21,1,night,sunday,weekend,unknown,free,cloudy,United States,0
153,198,135,noon,monday,workday,unknown,free,cloudy,Mexico,728
8,17,3,evening,thursday,workday,home,free,stormy,Canada,129
93,199,32,night,sunday,weekend,unknown,free,sunny,Netherlands,0
120,79,1,night,sunday,weekend,unknown,free,cloudy,United States,0
22,26,27,night,friday,workday,unknown,free,cloudy,United Kingdom,401
32,17,2,afternoon,tuesday,workday,work,free,sunny,Spain,373
68,200,4,evening,monday,workday,unknown,free,cloudy,Israel,454
120,201,1,night,sunday,weekend,unknown,free,foggy,United States,0
